Date,Job Title,Application URL,Company,Salary
3/19,Director of Product Design,https://job-boards.greenhouse.io/glossgenius/jobs/7643217003,GlossGenius,"$240,000 - $285,000"
3/19,Director of Product Design,https://job-boards.greenhouse.io/mavenclinic/jobs/7860066002,Maven Clinic,"$225,000 - $260,000"
3/19,"Director, Product Design (Remote Eligible)",https://job-boards.greenhouse.io/smartsheet/jobs/7630792,Smartsheet,"$235,000 - $275,000"
3/19,Lead Product Designer,https://job-boards.greenhouse.io/faire/jobs/8445630002,Faire,"$180,000 - $247,500"
3/19,Staff Product Designer,https://jobs.lever.co/neednova/a3134fc6-6589-4ab5-afad-476524680644,Nova Credit,"$197,200 - $240,299"
3/19,Head of Product Design,https://jobs.lever.co/valence/12646dea-41d3-46a1-9605-a23b6667326d,Valence,"$220,000 - $320,000"
3/19,Head of Product Design,https://job-boards.greenhouse.io/singlestore/jobs/6682238,SingleStore,"$192,000 - $267,000"
3/19,Director of Product Design (Remote),https://jobs.lever.co/super-com/81df2e3b-3cfc-480d-8aea-e546b1f35957,Super.com,"$170,000 - $275,000"
3/19,"Senior Director / Head of Design, UX/UI",https://jobs.lever.co/lime/e959e5df-5cc3-4a88-a3b3-2938b9b78190,Lime,"$160,000 - $270,000"
3/19,Principal Product Designer,https://jobs.ashbyhq.com/ramp/6e7b0226-d806-4efb-972c-1e7d0e1690cf,Ramp,
3/19,"Director of Product Design, Enterprise Intelligence",https://job-boards.greenhouse.io/alphasense/jobs/8022167002,AlphaSense,
3/19,"Senior Director, Product Design",https://boards.greenhouse.io/alphasense/jobs/7707723002,AlphaSense,
3/19,"Senior Director, Product Design and User Research (Remote)",https://jobs.ashbyhq.com/auditboard/c3c267d1-a253-4706-b976-a4f5b2c91206,AuditBoard,
3/19,"Senior Manager, Product Design and User Research (Remote)",https://jobs.ashbyhq.com/auditboard/89929835-6d5c-43fd-8d92-851231f2332d,AuditBoard,
3/19,Head of Product Design,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4529753005,The New York Times,
3/19,"Principal Product Designer, News App",https://job-boards.greenhouse.io/thenewyorktimes/jobs/4587283005,The New York Times,
3/19,Director of Product Design,https://jobs.lever.co/attentivemobile/189cb0e3-d067-4f8a-918e-41ebd87c52eb,Attentive,
3/19,"Design Director - Growth, Platform",https://jobs.lever.co/matchgroup/6d0b65b9-e125-45a4-9300-c8f5979f6e08,Match Group (Hinge),
3/19,Staff Product Designer,https://jobs.ashbyhq.com/scribe/28eab2ec-d5b6-467a-8081-21f6d998f165,Scribe,
3/19,"Director, UX Product Design",https://jobs.ashbyhq.com/higharc/2add1be2-9210-4557-af6f-1dfba525a7f2,Higharc,
3/19,Senior Product Design Manager,https://jobs.ashbyhq.com/revenuecat/2ac08020-07a6-4212-abf5-882fb313cb14,RevenueCat,
3/19,"Lead Product Designer (Remote, US)",https://boards.greenhouse.io/apolloio/jobs/4789887004,Apollo.io,
3/19,"Lead Product Designer, Design System",https://boards.greenhouse.io/apolloio/jobs/4886386004,Apollo.io,
3/19,"Lead Product Designer, Enterprise (Remote)",https://jobs.ashbyhq.com/zapier/1c0b643a-bb6e-4a04-aff8-b1e9a06b37e3,Zapier,
3/19,"VP, Design (Remote US)",https://boards.greenhouse.io/thumbtack/jobs/2832306,Thumbtack,
3/19,Director of Product Design,https://boards.greenhouse.io/chief/jobs/6575840002,Chief,
3/19,"Director, Product Design - Brand Partnerships (Remote)",https://boards.greenhouse.io/shopltk/jobs/5213116003,LTK USA,
3/19,"Sr. Director, Head of Product Design (Remote)",https://job-boards.greenhouse.io/globalizationpartners/jobs/6556178003,G-P (Globalization Partners),
3/19,"Lead Product Designer (UI/UX), NYC/Remote",https://jobs.ashbyhq.com/vitally/85ca1f6b-6a2b-4768-8622-50e74d6c429a,Vitally,
3/19,"Director, Product Design (Remote)",https://job-boards.greenhouse.io/raptortechnologies/jobs/5130951008,Raptor Technologies,
3/19,Director of Product Design,https://job-boards.greenhouse.io/ziprecruiter/jobs/4634825,ZipRecruiter,
3/19,"Lead Product Designer, Growth",https://boards.greenhouse.io/arcadiacareers/jobs/5158898002,Arcadia,
